TRACK_clean,ncaa_name,espn_name,dist,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference,ncaa_name_TRUE
Central Connecticut,Central Conn. St.,Cent Conn St,0.1836945304437565,#1A4784,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Central_Connecticut_Blue_Devils_logo.svg/264px-Central_Connecticut_Blue_Devils_logo.svg.png,NA,NEC,Central Connecticut
Central Florida,UCF,UCF,0,#000000,#B7A369,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/299px-UCF_Knights_logo.svg.png,NA,AAC,UCF
Central Michigan,Central Mich.,Cent Michigan,0.10897435897435892,#6A0032,#FFC82E,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Central_Michigan_Chippewas_logo.svg/200px-Central_Michigan_Chippewas_logo.svg.png,NA,MAC,Central Michigan
Charleston Southern,Charleston So.,Charleston So,0.12907268170426067,#002855,#A89968,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Charleston_Southern_Buccaneers_logo.svg/273px-Charleston_Southern_Buccaneers_logo.svg.png,NA,Big South,Charleston Southern
Charlotte,Charlotte,Charlotte,0,#046A38,#B9975B,#27251F,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/3/33/Charlotte_49ers_logo.svg,NA,C-USA,Charlotte
Chattanooga,Chattanooga,Chattanooga,0,#00386B,#E0AA0F,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Chattanooga_Mocs_logo.svg/272px-Chattanooga_Mocs_logo.svg.png,NA,Southern,Chattanooga
Chicago State,Chicago St.,Chicago State,0.10722610722610726,#006666,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Chicago_State_Cougars_logo.svg/246px-Chicago_State_Cougars_logo.svg.png,NA,WAC,Chicago State
Cincinnati,Cincinnati,Cincinnati,0,#E00122,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Cincinnati_Bearcats_logo.svg/153px-Cincinnati_Bearcats_logo.svg.png,NA,AAC,Cincinnati
Citadel,The Citadel,The Citadel,0.2640692640692641,#3975B7,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/0/0d/Correct_secondary_logo.png,NA,Southern,Citadel
Clemson,Clemson,Clemson,0,#F56600,#522D80,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Clemson_Tigers_logo.svg/251px-Clemson_Tigers_logo.svg.png,NA,ACC,Clemson
Cleveland St.,Cleveland St.,Cleveland State,0,#006747,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Cleveland_State_Vikings_logo.svg/311px-Cleveland_State_Vikings_logo.svg.png,NA,Horizon,Cleveland St.
Coastal Carolina,Coastal Carolina,C. Carolina,0,#006F71,#A27752,#111111,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Coastal_Carolina_Chanticleers_logo.svg/214px-Coastal_Carolina_Chanticleers_logo.svg.png,NA,Sunbelt,Coastal Carolina
Col. of Charleston,Col. of Charleston,Charleston,0,#76232F,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/College_of_Charleston_Cougars_logo.svg/206px-College_of_Charleston_Cougars_logo.svg.png,NA,CAA,Col. of Charleston
Colgate,Colgate,Colgate,0,#862633,#C8C7C7,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Colgate_Raiders_logo.svg/189px-Colgate_Raiders_logo.svg.png,NA,Patriot,Colgate
Colorado,Colorado,Colorado,0,#CFB87C,#000000,#565A5C,#A2A4A3,#4B92DB,NA,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/320px-Colorado_Buffaloes_logo.svg.png,NA,Pac 12,Colorado
Colorado St.,Colorado St.,Colorado State,0,#1E4D2B,#C8C372,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/240px-Colorado_State_Rams_logo.svg.png,NA,MWC,Colorado St.
Columbia,Columbia,Columbia,0,#9BCBEB,#003865,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Columbia_Lions_logo.svg/206px-Columbia_Lions_logo.svg.png,NA,Ivy,Columbia
Connecticut,UConn,UConn,0.2787878787878788,#000E2F,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Connecticut_Huskies_logo.svg/192px-Connecticut_Huskies_logo.svg.png,NA,Big East,Connecticut
Coppin State,Coppin St.,Coppin State,0.1166666666666667,#003056,#FFC915,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Coppin_State_Eagles_logo.svg/320px-Coppin_State_Eagles_logo.svg.png,NA,MEAC,Coppin State
Cornell,Cornell,Cornell,0,#B31B1B,#5E3920,#89572E,#000000,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Cornell_Big_Red_logo.svg/231px-Cornell_Big_Red_logo.svg.png,NA,Ivy,Cornell
Creighton,Creighton,Creighton,0,#005CA9,#00235D,#6CADDE,#828282,#C8C8C8,#8A8D8F,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Creighton_Bluejays_logo.svg/238px-Creighton_Bluejays_logo.svg.png,NA,Big East,Creighton
